period_end,factor_id,score,rationale
2020-06-30,market_potential,7.0,疫情影响，低端白酒需求萎缩，但茅台韧性凸显，通过“挤占”市场份额实现增长。
2020-06-30,pricing_power,8.0,2020年飞天茅台出厂价维持在969元，通过提高直销比例变相提升变现能力，净利润率47.6%。
2020-06-30,branding_power,8.5,茅台是中国身份的防伪标签，具有“不可替代性”，疫情期间品牌韧性凸显。
2020-06-30,management_quality,7.5,2020年疫情期间公司展现经营韧性，延续直销渠道改革以应对市场变化。
2020-06-30,strategy_soundness,7.5,公司通过直销渠道改革和产品结构优化（飞天是定海神针，系列酒是第二曲线）维持增长和市场地位。
2020-06-30,competitive_position,9.0,茅台商业模式“把水变成金子”，极低成本与极高售价带来高毛利率和净利率，库存周转率稳定在0.38。
2020-06-30,industry_position,9.5,茅台商业模式被公认为行业“天花板”，净利润率持续攀升至47.6%，显示主导地位。
2020-06-30,shareholder_reward,8.5,2020年分红金额为242亿元，采取高额分红符合股东利益。
2020-06-30,balance_sheet_health,9.5,账上常年躺着数千亿现金，几乎没有有息负债，资产负债率21.4%极低，存货价值随基酒产能量增。
2020-06-30,cash_flow_health,9.5,经营现金流与净利润高度匹配（OCF/净利润1.11），资本开支极低（21亿元），自由现金流强大（495亿元）。
2020-09-30,market_potential,7.0,疫情影响，低端白酒需求萎缩，但茅台韧性凸显，通过“挤占”市场份额实现增长。
2020-09-30,pricing_power,8.0,2020年飞天茅台出厂价维持在969元，通过提高直销比例变相提升变现能力，净利润率47.6%。
2020-09-30,branding_power,8.5,茅台是中国身份的防伪标签，具有“不可替代性”，疫情期间品牌韧性凸显。
2020-09-30,management_quality,7.5,2020年疫情期间公司展现经营韧性，延续直销渠道改革以应对市场变化。
2020-09-30,strategy_soundness,7.5,公司通过直销渠道改革和产品结构优化（飞天是定海神针，系列酒是第二曲线）维持增长和市场地位。
2020-09-30,competitive_position,9.0,茅台商业模式“把水变成金子”，极低成本与极高售价带来高毛利率和净利率，库存周转率稳定在0.38。
2020-09-30,industry_position,9.5,茅台商业模式被公认为行业“天花板”，净利润率持续攀升至47.6%，显示主导地位。
2020-09-30,shareholder_reward,8.5,2020年分红金额为242亿元，采取高额分红符合股东利益。
2020-09-30,balance_sheet_health,9.5,账上常年躺着数千亿现金，几乎没有有息负债，资产负债率21.4%极低，存货价值随基酒产能量增。
2020-09-30,cash_flow_health,9.5,经营现金流与净利润高度匹配（OCF/净利润1.11），资本开支极低（21亿元），自由现金流强大（495亿元）。
2020-12-31,market_potential,7.0,疫情影响，低端白酒需求萎缩，但茅台韧性凸显，通过“挤占”市场份额实现增长。
2020-12-31,pricing_power,8.0,2020年飞天茅台出厂价维持在969元，通过提高直销比例变相提升变现能力，净利润率47.6%。
2020-12-31,branding_power,8.5,茅台是中国身份的防伪标签，具有“不可替代性”，疫情期间品牌韧性凸显。
2020-12-31,management_quality,7.5,2020年疫情期间公司展现经营韧性，延续直销渠道改革以应对市场变化。
2020-12-31,strategy_soundness,7.5,公司在疫情背景下，通过直销渠道改革和产品结构优化（飞天是定海神针，系列酒是第二曲线）维持增长和市场地位。
2020-12-31,competitive_position,9.0,茅台商业模式“把水变成金子”，极低成本与极高售价带来高毛利率和净利率，库存周转率稳定在0.38。
2020-12-31,industry_position,9.5,茅台商业模式被公认为行业“天花板”，净利润率持续攀升至47.6%，显示主导地位。
2020-12-31,shareholder_reward,8.5,2020年分红金额为242亿元，采取高额分红符合股东利益。
2020-12-31,balance_sheet_health,9.5,账上常年躺着数千亿现金，几乎没有有息负债，资产负债率21.4%极低，存货价值随基酒产能量增。
2020-12-31,cash_flow_health,9.5,经营现金流与净利润高度匹配（OCF/净利润1.11），资本开支极低（21亿元），自由现金流强大（495亿元）。
2021-03-31,market_potential,8.0,2021年公司营收破千亿大关，行业复苏，茅台酒需求持续增长，系列酒也快速崛起。
2021-03-31,pricing_power,8.5,2021年飞天茅台出厂价维持在969元，公司通过渠道扁平化（i茅台和直营店）提升净利润率至47.9%。
2021-03-31,branding_power,8.5,茅台品牌持续强势，营收破千亿大关，显示其在消费者心中的地位和市场认可度。
2021-03-31,management_quality,7.5,公司制定“十四五”发展规划，确定“五线”发展道路，全面开展顶层设计，构建企业治理新体系。
2021-03-31,strategy_soundness,8.0,公司营收破千亿，茅台酒仍是定海神针，系列酒营收快速增长，显示多品牌战略有效性。
2021-03-31,competitive_position,9.0,茅台拥有独一无二的原产地域保护、微生物菌落群、酿造工艺、优质基酒资源“四个核心势能”，库存周转率0.40。
2021-03-31,industry_position,9.5,公司全年营收1094.64亿元，净利润524.60亿元，各项指标保持两位数增长，净利润率47.9%。
2021-03-31,shareholder_reward,9.0,2021年公司分红金额为272+275亿元（含特别分红），持续高额回报股东。
2021-03-31,balance_sheet_health,9.5,"公司现金储备极度充裕（1,786亿元），资产负债率持续降低（16.0%），无有息负债，存货价值持续增长（333亿元）。"
2021-03-31,cash_flow_health,7.0,2021年第一季度经营活动产生的现金流量净额为负，但属于会计处理波动，不影响经营基本面。
2021-06-30,market_potential,8.0,2021年公司营收破千亿大关，行业复苏，茅台酒需求持续增长，系列酒也快速崛起。
2021-06-30,pricing_power,8.5,2021年飞天茅台出厂价维持在969元，公司通过渠道扁平化（i茅台和直营店）提升净利润率至47.9%。
2021-06-30,branding_power,8.5,茅台品牌持续强势，营收破千亿大关，显示其在消费者心中的地位和市场认可度。
2021-06-30,management_quality,7.5,公司制定“十四五”发展规划，确定“五线”发展道路，全面开展顶层设计，构建企业治理新体系。
2021-06-30,strategy_soundness,8.0,公司营收破千亿，茅台酒仍是定海神针，系列酒营收快速增长，显示多品牌战略有效性。
2021-06-30,competitive_position,9.0,茅台拥有独一无二的原产地域保护、微生物菌落群、酿造工艺、优质基酒资源“四个核心势能”，库存周转率0.40。
2021-06-30,industry_position,9.5,公司全年营收1094.64亿元，净利润524.60亿元，各项指标保持两位数增长，净利润率47.9%。
2021-06-30,shareholder_reward,9.0,2021年公司分红金额为272+275亿元（含特别分红），持续高额回报股东。
2021-06-30,balance_sheet_health,9.5,"公司现金储备极度充裕（1,786亿元），资产负债率持续降低（16.0%），无有息负债，存货价值持续增长（333亿元）。"
2021-06-30,cash_flow_health,9.0,2021年第二季度经营活动产生的现金流量净额为232.04亿元，显示公司经营活动现金流强劲。
2021-09-30,market_potential,8.0,2021年公司营收破千亿大关，行业复苏，茅台酒需求持续增长，系列酒也快速崛起。
2021-09-30,pricing_power,8.5,2021年飞天茅台出厂价维持在969元，公司通过渠道扁平化（i茅台和直营店）提升净利润率至47.9%。
2021-09-30,branding_power,8.5,茅台品牌持续强势，营收破千亿大关，显示其在消费者心中的地位和市场认可度。
